file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\nodes\Document.java,org.jsoup.nodes.Document$QuirksMode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,class,22,25,3,22,74,1,0,72,167,0.9323309,0.0,0.0,19,18,8,4,0,7,15,0,0,0,7,7,1,4,0,2,7,0,35,222,27,3,33,7,2,23,52,57,1,39,5,0,1,0,210,17,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,interface,6,6,0,6,13,1,0,0,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\nodes\Range.java,org.jsoup.nodes.Range,class,4,10,6,4,20,1,0,7,0,0.6136364,0.0,0.0,11,1,10,0,0,1,11,0,0,0,3,2,0,2,0,1,3,0,1,110,15,0,5,0,0,1,3,7,1,7,1,0,2,0,112,1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$IsOnlyOfType,innerclass,4,4,0,4,8,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,3,1,3,0,0,1,3,4,0,3,2,0,0,0,17,25,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$IndexEvaluator,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1033,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$ContainsWholeText,innerclass,2,2,0,2,4,2,0,3,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,1,15,3,0,0,0,0,1,1,1,0,1,0,0,0,0,22,25,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\nodes\Entities.java,org.jsoup.nodes.Entities$CoreCharset,enum,1,1,0,1,3,1,0,2,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,2,0,0,0,0,1,0,0,0,9,0,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\internal\ControllableInputStream.java,org.jsoup.internal.ControllableInputStream,class,8,11,3,8,47,3,0,27,44,0.8088234,0.0,0.0,17,3,14,3,0,0,14,0,0,0,12,0,0,12,0,0,1,0,15,142,15,2,8,2,3,4,26,41,9,25,4,0,0,0,134,1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\safety\Cleaner.java,org.jsoup.safety.Cleaner,class,13,16,3,13,16,1,0,32,9,0.5,0.0,0.0,6,0,4,2,0,0,4,0,0,0,1,0,0,1,0,0,1,0,9,108,5,1,2,0,1,6,5,19,0,19,2,0,2,0,168,1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\nodes\Element.java,org.jsoup.nodes.Element,class,55,148,93,55,265,5,3,215,10879,0.9509379,0.0,0.0,154,5,133,12,5,4,142,0,1,0,9,6,0,6,0,3,6,0,116,857,171,13,47,3,5,47,38,114,11,92,4,0,2,3,640,1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection,class,17,21,4,17,59,3,0,44,0,0.92144024,0.0,0.0,47,4,43,2,0,2,45,0,0,0,13,9,5,5,0,3,9,0,22,954,46,7,2,1,0,26,6,25,2,18,2,0,4,0,197,1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\helper\UrlBuilder.java,org.jsoup.helper.UrlBuilder,class,5,8,3,5,28,1,0,30,7,0.61111116,0.0,0.0,6,3,0,3,0,3,3,0,0,0,3,1,0,1,0,2,1,0,19,70,4,1,8,2,3,3,10,10,5,7,3,0,0,0,75,16,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\select\NodeTraversor.java,org.jsoup.select.NodeTraversor,class,7,11,4,7,34,1,0,14,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,88,5,6,23,0,2,0,9,22,0,10,4,0,0,0,61,1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token$XmlDecl,innerclass,4,4,0,4,7,3,0,5,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,17,3,0,0,0,0,5,1,4,2,3,1,0,0,0,20,24,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.21.1\jsoup-jsoup-1.21.1\src\main\java\org\jsoup\safety\Safelist.java,org.jsoup.safety.Safelist$AttributeKey,innerclass,3,3,0,3,2,2,0,1,1,0.0,0.0,0.0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
